Search Name,Address,Address Lat,Address Long,Nearest MRT Station,Nearest MRT Distance,Nearest Mall Name,Nearest Mall Distance,Nearest Bus Stop Code,Nearest Bus Stop Distance,Number of Bus Stops,Nearest NPC,Nearest NPC Distance,Nearest School,Nearest School Distance,Nearest Green Area,Nearest Green Area Distance
101 ANG MO KIO AVE 3,101 ANG MO KIO AVENUE 3,1.37026158388486,103.839467898898,MAYFLOWER MRT STATION (TE6),0.3489790813364565,CATHAY CINEPLEX AMK HUB,1.0071539050924168,54221 (BUS STOP),0.03672418021197085,2,Ang Mo Kio South Neighbourhood Police Centre,1.3614943720591737,Ang Mo Kio Primary School,0.10606161564191516,Ang Mo Kio Town Garden West,0.5816920921390868
430 ANG MO KIO AVE 3,430 ANG MO KIO AVENUE 3,1.36899287777802,103.85276134968,ANG MO KIO MRT STATION (NS16),0.3711075572277427,CATHAY CINEPLEX AMK HUB,0.47814054809191675,54271 (BUS STOP),0.14020239292279293,3,Ang Mo Kio South Neighbourhood Police Centre,0.15570898734172633,Deyi Secondary School,0.33398488591409325,Ang Mo Kio Town Garden East,0.31652035118964167
520 ANG MO KIO AVE 5,520 ANG MO KIO AVENUE 5,1.3734054063175,103.851134219635,ANG MO KIO MRT STATION (NS16),0.4240223550709145,CATHAY CINEPLEX AMK HUB,0.5544690112740391,54401 (BUS STOP),0.07553197213905699,4,Ang Mo Kio South Neighbourhood Police Centre,0.3929230694975468,Anderson Secondary School,0.11392484446462613,Ang Mo Kio Town Garden East,0.3104156514723105
716 ANG MO KIO AVE 6,716 ANG MO KIO AVENUE 6,1.37147783065153,103.845868750998,ANG MO KIO MRT STATION (NS16),0.4446471198955454,CATHAY CINEPLEX AMK HUB,0.3844701324394906,54039 (BUS STOP),0.06740604828791827,2,Ang Mo Kio South Neighbourhood Police Centre,0.6721528576387528,Ang Mo Kio Secondary School,0.6184076471383985,Ang Mo Kio Town Garden West,0.4413801622899684
588A ANG MO KIO ST 52,588A ANG MO KIO STREET 52,1.37207688864036,103.852786139342,ANG MO KIO MRT STATION (NS16),0.4308178236239359,CATHAY CINEPLEX AMK HUB,0.5775648742113157,54409 (BUS STOP),0.10053258813765938,3,Ang Mo Kio South Neighbourhood Police Centre,0.26806401793344287,Jing Shan Primary School,0.07473396332569508,Ang Mo Kio Town Garden East,0.2993253954139156
310A ANG MO KIO AVE 1,310A ANG MO KIO AVENUE 1,1.36481255187585,103.843844243986,ANG MO KIO MRT STATION (NS16),0.8529969091689569,CATHAY CINEPLEX AMK HUB,0.7078775100816148,54011 (BUS STOP),0.1094233023951702,3,Bishan Neighbourhood Police Centre,0.8897156476867907,Ang Mo Kio Secondary School,0.3377359924854339,Bishan-Ang Mo Kio Park,0.5943959481996876
613 ANG MO KIO AVE 4,613 ANG MO KIO AVENUE 4,1.37845661566039,103.839292714848,YIO CHU KANG MRT STATION (NS15),0.7278017254497572,CATHAY CINEPLEX AMK HUB,1.4493356763918988,55131 (BUS STOP),0.07633607475758455,3,Ang Mo Kio North Neighbourhood Police Centre,0.9731385428612693,Yio Chu Kang Secondary School,0.3206601650856366,Ang Mo Kio Town Garden West,0.6265982466853076
101 BEDOK NTH AVE 4,101 BEDOK NORTH AVENUE 4,1.334484667124,103.937924710969,BEDOK RESERVOIR MRT STATION (DT30),0.675159553038471,DJITSUN MALL BEDOK,1.315656185783619,84251 (BUS STOP),0.15191943825352563,2,Bedok Neighbourhood Police Centre,0.2194842625134768,Bedok Green Secondary School,0.32199329986042813,Bedok Town Park,1.7315290743384364
548 BEDOK NTH AVE 1,548 BEDOK NORTH AVENUE 1,1.33131021834565,103.92685391703,BEDOK RESERVOIR MRT STATION (DT30),0.8395117895350372,DJITSUN MALL BEDOK,0.6505686884002828,84371 (BUS STOP),0.10875943250915228,5,Bedok Neighbourhood Police Centre,1.1453504320814134,Fengshan Primary School,0.5651771851720694,Bedok Town Park,0.6072960352689107
75 BEDOK NTH RD,75 BEDOK NORTH ROAD,1.32791477933184,103.942144427101,TANAH MERAH MRT STATION (EW4),0.4743070430831493,DJITSUN MALL BEDOK,1.4137249601046948,84061 (BUS STOP),0.23002900454576156,0,Bedok Neighbourhood Police Centre,0.7768549475187412,Bedok View Secondary School,0.45552008067271155,Bedok Town Park,2.3157098598741728
